%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82195.152,300.474,0.953,9.755,45.347,-0.008,36.703,39.524,40.996,42.45,42.07,38.678,38.404,38.934,40.825,41.753,44.266,37.983,44.393,42.809,41.215,39.819,-0.017,-0.005,0.187,0,535.048,336.269
82195.152,300.472,0.953,9.721,45.031,-0.328,37.352,39.524,41.638,41.823,42.286,39.822,38.297,38.827,40.714,42.484,44.371,37.983,44.811,42.076,40.489,40.27,-0.017,-0.005,0.177,0.001,535.048,336.269
82183.058,300.474,0.953,9.739,45.189,-0.328,37.244,38.408,41.531,42.136,41.745,38.886,38.618,38.398,40.602,42.275,44.16,38.303,44.916,42.286,41.008,39.819,-0.006,-0.024,0.187,0,535.048,336.269
82191.121,300.474,0.953,9.747,45.268,-0.488,37.352,38.743,41.531,42.136,42.719,38.886,38.939,39.041,40.042,42.066,44.266,37.771,44.916,42.704,41.215,39.255,-0.017,0.034,0.177,0.001,535.048,336.269
82183.058,300.472,0.953,9.748,45.268,-0.168,36.811,39.636,40.354,42.241,41.745,38.782,38.297,38.398,41.049,41.544,44.054,37.983,44.393,42.495,41.111,39.594,-0.027,0.034,0.197,0,535.048,336.269
82187.089,300.47,0.953,9.747,45.268,0.152,36.919,39.078,41.531,40.986,42.178,38.47,37.548,38.398,40.042,42.275,44.054,37.558,44.497,41.448,40.8,39.819,-0.027,0.014,0.187,0,535.048,336.269
82191.121,300.474,0.953,9.756,45.347,-0.168,36.811,38.743,41.531,42.136,41.529,38.782,37.869,37.54,40.266,42.275,43.738,37.451,44.393,42.914,40.385,39.594,0.004,0.014,0.197,0,535.048,336.269
82179.027,300.474,0.953,9.748,45.268,0.152,36.919,38.966,41.424,41.718,42.502,38.678,38.297,38.398,39.924,41.649,44.266,38.303,44.497,42.286,41.631,39.255,-0.027,-0.024,0.197,-0.001,535.048,336.269
82191.121,300.475,0.953,9.756,45.347,-0.008,37.352,39.524,40.889,42.241,41.962,39.406,38.403,38.505,40.819,40.918,44.16,37.771,44.079,42.495,41.215,39.368,-0.027,-0.043,0.197,-0.001,535.048,336.269
82191.121,300.475,0.953,9.747,45.268,-0.008,36.486,39.413,41.638,41.509,41.529,38.886,38.297,38.827,40.148,41.753,44.054,37.877,44.288,42.076,41.008,39.706,-0.006,-0.043,0.187,-0.001,535.048,336.269
82187.089,300.474,0.953,9.747,45.268,-0.168,37.244,39.413,41.96,42.554,41.205,38.678,37.976,37.969,40.148,41.962,44.054,37.558,44.079,42.495,40.073,39.932,-0.027,-0.005,0.167,-0.001,535.048,336.269
82195.152,300.474,0.953,9.747,45.268,-0.008,37.244,38.855,41.317,42.032,42.394,38.574,37.976,38.612,40.26,41.231,44.266,38.409,44.288,42.914,41.527,39.142,-0.006,-0.005,0.197,-0.001,535.048,336.269
82187.089,300.478,0.953,9.765,45.426,-0.168,37.244,39.413,40.782,41.927,42.286,39.51,38.083,38.29,41.154,41.335,44.266,38.196,44.602,42.286,41.423,40.158,-0.017,-0.005,0.208,0,535.048,336.269
